2017-11-23T13:41:28.149+0100 I NETWORK  [conn10] received client metadata from 127.0.0.1:49606 conn10: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows ", architecture: "AMD64", version: "10.0.14393-" }, platform: "CPython 3.5.0.final.0" }
2017-11-23T13:41:36.170+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:49619 #11 (3 connections now open)
2017-11-23T13:41:36.170+0100 I NETWORK  [conn11] received client metadata from 127.0.0.1:49619 conn11: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows ", architecture: "AMD64", version: "10.0.14393-" }, platform: "CPython 3.5.0.final.0" }
2017-11-23T13:42:29.750+0100 I -        [conn11] end connection 127.0.0.1:49619 (3 connections now open)
2017-11-23T13:42:29.750+0100 I -        [conn10] end connection 127.0.0.1:49606 (3 connections now open)
2017-11-23T13:42:30.022+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:49689 #12 (2 connections now open)
2017-11-23T13:42:30.023+0100 I NETWORK  [conn12] received client metadata from 127.0.0.1:49689 conn12: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows ", architecture: "AMD64", version: "10.0.14393-" }, platform: "CPython 3.5.0.final.0" }
2017-11-23T13:42:35.346+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:49698 #13 (3 connections now open)
2017-11-23T13:42:35.346+0100 I NETWORK  [conn13] received client metadata from 127.0.0.1:49698 conn13: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows ", architecture: "AMD64", version: "10.0.14393-" }, platform: "CPython 3.5.0.final.0" }
2017-11-23T13:48:43.956+0100 I -        [conn12] end connection 127.0.0.1:49689 (3 connections now open)
2017-11-23T13:48:43.956+0100 I -        [conn13] end connection 127.0.0.1:49698 (3 connections now open)
2017-11-23T13:48:44.231+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:50117 #14 (2 connections now open)
2017-11-23T13:48:44.231+0100 I NETWORK  [conn14] received client metadata from 127.0.0.1:50117 conn14: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows ", architecture: "AMD64", version: "10.0.14393-" }, platform: "CPython 3.5.0.final.0" }
2017-11-23T13:49:24.299+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:50163 #15 (3 connections now open)
2017-11-23T13:49:24.300+0100 I NETWORK  [conn15] received client metadata from 127.0.0.1:50163 conn15: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows ", architecture: "AMD64", version: "10.0.14393-" }, platform: "CPython 3.5.0.final.0" }
2017-11-23T13:52:45.055+0100 I -        [conn15] end connection 127.0.0.1:50163 (3 connections now open)
2017-11-23T13:52:45.056+0100 I -        [conn14] end connection 127.0.0.1:50117 (3 connections now open)
2017-11-23T13:52:45.313+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:50389 #16 (2 connections now open)
2017-11-23T13:52:45.314+0100 I NETWORK  [conn16] received client metadata from 127.0.0.1:50389 conn16: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows ", architecture: "AMD64", version: "10.0.14393-" }, platform: "CPython 3.5.0.final.0" }
2017-11-23T13:52:46.874+0100 I -        [conn16] end connection 127.0.0.1:50389 (2 connections now open)
2017-11-23T13:52:47.153+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:50393 #17 (2 connections now open)
2017-11-23T13:52:47.154+0100 I NETWORK  [conn17] received client metadata from 127.0.0.1:50393 conn17: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows ", architecture: "AMD64", version: "10.0.14393-" }, platform: "CPython 3.5.0.final.0" }
2017-11-23T13:52:57.191+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:50407 #18 (3 connections now open)
2017-11-23T13:52:57.192+0100 I NETWORK  [conn18] received client metadata from 127.0.0.1:50407 conn18: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows ", architecture: "AMD64", version: "10.0.14393-" }, platform: "CPython 3.5.0.final.0" }
2017-11-23T13:53:38.741+0100 I -        [conn17] end connection 127.0.0.1:50393 (3 connections now open)
2017-11-23T13:53:38.741+0100 I -        [conn18] end connection 127.0.0.1:50407 (3 connections now open)
2017-11-23T13:53:39.005+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:50458 #19 (2 connections now open)
2017-11-23T13:53:39.006+0100 I NETWORK  [conn19] received client metadata from 127.0.0.1:50458 conn19: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows ", architecture: "AMD64", version: "10.0.14393-" }, platform: "CPython 3.5.0.final.0" }
2017-11-23T13:53:48.611+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:50469 #20 (3 connections now open)
2017-11-23T13:53:48.611+0100 I NETWORK  [conn20] received client metadata from 127.0.0.1:50469 conn20: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows ", architecture: "AMD64", version: "10.0.14393-" }, platform: "CPython 3.5.0.final.0" }
2017-11-23T13:54:31.594+0100 I -        [conn19] end connection 127.0.0.1:50458 (3 connections now open)
2017-11-23T13:54:31.594+0100 I -        [conn20] end connection 127.0.0.1:50469 (3 connections now open)
2017-11-23T13:54:31.853+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:50525 #21 (2 connections now open)
2017-11-23T13:54:31.854+0100 I NETWORK  [conn21] received client metadata from 127.0.0.1:50525 conn21: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows ", architecture: "AMD64", version: "10.0.14393-" }, platform: "CPython 3.5.0.final.0" }
2017-11-23T13:54:47.002+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:50545 #22 (3 connections now open)
2017-11-23T13:54:47.002+0100 I NETWORK  [conn22] received client metadata from 127.0.0.1:50545 conn22: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows ", architecture: "AMD64", version: "10.0.14393-" }, platform: "CPython 3.5.0.final.0" }
2017-11-23T13:54:58.938+0100 I -        [conn21] end connection 127.0.0.1:50525 (3 connections now open)
2017-11-23T13:54:58.938+0100 I -        [conn22] end connection 127.0.0.1:50545 (3 connections now open)
2017-11-23T13:54:59.755+0100 I -        [conn2] end connection 127.0.0.1:49331 (1 connection now open)
2017-11-23T13:57:24.917+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:50722 #23 (1 connection now open)
2017-11-23T13:57:24.917+0100 I NETWORK  [conn23] received client metadata from 127.0.0.1:50722 conn23: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows ", architecture: "AMD64", version: "10.0.14393-" }, platform: "CPython 3.5.0.final.0" }
2017-11-23T13:57:25.267+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:50723 #24 (2 connections now open)
2017-11-23T13:57:25.268+0100 I NETWORK  [conn24] received client metadata from 127.0.0.1:50723 conn24: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows ", architecture: "AMD64", version: "10.0.14393-" }, platform: "CPython 3.5.0.final.0" }
2017-11-23T13:57:28.932+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:50729 #25 (3 connections now open)
2017-11-23T13:57:28.932+0100 I NETWORK  [conn25] received client metadata from 127.0.0.1:50729 conn25: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows ", architecture: "AMD64", version: "10.0.14393-" }, platform: "CPython 3.5.0.final.0" }
2017-11-23T13:57:34.816+0100 I -        [conn25] end connection 127.0.0.1:50729 (3 connections now open)
2017-11-23T13:57:34.816+0100 I -        [conn24] end connection 127.0.0.1:50723 (2 connections now open)
2017-11-23T13:57:35.091+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:50736 #26 (2 connections now open)
2017-11-23T13:57:35.091+0100 I NETWORK  [conn26] received client metadata from 127.0.0.1:50736 conn26: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows ", architecture: "AMD64", version: "10.0.14393-" }, platform: "CPython 3.5.0.final.0" }
2017-11-23T13:57:36.241+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:50739 #27 (3 connections now open)
2017-11-23T13:57:36.241+0100 I NETWORK  [conn27] received client metadata from 127.0.0.1:50739 conn27: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows ", architecture: "AMD64", version: "10.0.14393-" }, platform: "CPython 3.5.0.final.0" }
2017-11-23T13:59:50.291+0100 I -        [conn27] end connection 127.0.0.1:50739 (3 connections now open)
2017-11-23T13:59:50.291+0100 I -        [conn26] end connection 127.0.0.1:50736 (3 connections now open)
2017-11-23T13:59:50.555+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:50889 #28 (2 connections now open)
2017-11-23T13:59:50.555+0100 I NETWORK  [conn28] received client metadata from 127.0.0.1:50889 conn28: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows ", architecture: "AMD64", version: "10.0.14393-" }, platform: "CPython 3.5.0.final.0" }
2017-11-23T13:59:51.831+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:50893 #29 (3 connections now open)
2017-11-23T13:59:51.831+0100 I NETWORK  [conn29] received client metadata from 127.0.0.1:50893 conn29: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows ", architecture: "AMD64", version: "10.0.14393-" }, platform: "CPython 3.5.0.final.0" }
2017-11-23T14:00:22.141+0100 I -        [conn28] end connection 127.0.0.1:50889 (3 connections now open)
2017-11-23T14:00:22.141+0100 I -        [conn29] end connection 127.0.0.1:50893 (3 connections now open)
2017-11-23T14:00:22.417+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:50928 #30 (2 connections now open)
2017-11-23T14:00:22.417+0100 I NETWORK  [conn30] received client metadata from 127.0.0.1:50928 conn30: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows ", architecture: "AMD64", version: "10.0.14393-" }, platform: "CPython 3.5.0.final.0" }
2017-11-23T14:00:24.226+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:50932 #31 (3 connections now open)
2017-11-23T14:00:24.226+0100 I NETWORK  [conn31] received client metadata from 127.0.0.1:50932 conn31: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows ", architecture: "AMD64", version: "10.0.14393-" }, platform: "CPython 3.5.0.final.0" }
2017-11-23T14:03:39.758+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:51164 #32 (4 connections now open)
2017-11-23T14:03:39.759+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:51165 #33 (5 connections now open)
2017-11-23T14:03:39.760+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:51166 #34 (6 connections now open)
2017-11-23T14:03:39.761+0100 I -        [conn32] end connection 127.0.0.1:51164 (6 connections now open)
2017-11-23T14:03:39.895+0100 I -        [conn33] end connection 127.0.0.1:51165 (5 connections now open)
2017-11-23T14:03:39.895+0100 I -        [conn34] end connection 127.0.0.1:51166 (4 connections now open)
2017-11-23T14:03:40.011+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:51168 #35 (4 connections now open)
2017-11-23T14:03:40.013+0100 I -        [conn35] end connection 127.0.0.1:51168 (4 connections now open)
2017-11-23T14:03:41.658+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:51174 #36 (4 connections now open)
2017-11-23T14:03:41.659+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:51175 #37 (5 connections now open)
2017-11-23T14:03:41.660+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:51176 #38 (6 connections now open)
2017-11-23T14:03:41.661+0100 I -        [conn36] end connection 127.0.0.1:51174 (6 connections now open)
2017-11-23T14:03:41.715+0100 I -        [conn37] end connection 127.0.0.1:51175 (5 connections now open)
2017-11-23T14:03:41.767+0100 I -        [conn38] end connection 127.0.0.1:51176 (4 connections now open)
2017-11-23T14:03:41.909+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:51178 #39 (4 connections now open)
2017-11-23T14:03:46.382+0100 I -        [conn39] end connection 127.0.0.1:51178 (4 connections now open)
2017-11-23T14:03:46.686+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:51185 #40 (4 connections now open)
2017-11-23T14:03:46.687+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:51186 #41 (5 connections now open)
2017-11-23T14:03:46.688+0100 I -        [conn40] end connection 127.0.0.1:51185 (5 connections now open)
2017-11-23T14:03:46.755+0100 I -        [conn41] end connection 127.0.0.1:51186 (4 connections now open)
2017-11-23T14:03:56.201+0100 I -        [conn31] end connection 127.0.0.1:50932 (3 connections now open)
2017-11-23T14:03:56.201+0100 I -        [conn30] end connection 127.0.0.1:50928 (3 connections now open)
2017-11-23T14:03:56.456+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:51198 #42 (2 connections now open)
2017-11-23T14:03:56.456+0100 I NETWORK  [conn42] received client metadata from 127.0.0.1:51198 conn42: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows ", architecture: "AMD64", version: "10.0.14393-" }, platform: "CPython 3.5.0.final.0" }
2017-11-23T14:04:44.538+0100 I -        [conn42] end connection 127.0.0.1:51198 (2 connections now open)
2017-11-23T14:04:44.806+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:51256 #43 (2 connections now open)
2017-11-23T14:04:44.806+0100 I NETWORK  [conn43] received client metadata from 127.0.0.1:51256 conn43: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows ", architecture: "AMD64", version: "10.0.14393-" }, platform: "CPython 3.5.0.final.0" }
2017-11-23T14:04:51.917+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:51266 #44 (3 connections now open)
2017-11-23T14:04:51.917+0100 I NETWORK  [conn44] received client metadata from 127.0.0.1:51266 conn44: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows ", architecture: "AMD64", version: "10.0.14393-" }, platform: "CPython 3.5.0.final.0" }
2017-11-23T14:05:58.929+0100 I -        [conn44] end connection 127.0.0.1:51266 (3 connections now open)
2017-11-23T14:05:58.929+0100 I -        [conn43] end connection 127.0.0.1:51256 (3 connections now open)
2017-11-23T14:05:59.201+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:51338 #45 (2 connections now open)
2017-11-23T14:05:59.202+0100 I NETWORK  [conn45] received client metadata from 127.0.0.1:51338 conn45: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows ", architecture: "AMD64", version: "10.0.14393-" }, platform: "CPython 3.5.0.final.0" }
2017-11-23T14:06:01.761+0100 I -        [conn45] end connection 127.0.0.1:51338 (2 connections now open)
2017-11-23T14:06:02.011+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:51341 #46 (2 connections now open)
2017-11-23T14:06:02.011+0100 I NETWORK  [conn46] received client metadata from 127.0.0.1:51341 conn46: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows ", architecture: "AMD64", version: "10.0.14393-" }, platform: "CPython 3.5.0.final.0" }
2017-11-23T14:06:04.544+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:51347 #47 (3 connections now open)
2017-11-23T14:06:04.544+0100 I NETWORK  [conn47] received client metadata from 127.0.0.1:51347 conn47: { driver: { name: "PyMongo", version: "3.5.1" }, os: { type: "Windows", name: "Windows ", architecture: "AMD64", version: "10.0.14393-" }, platform: "CPython 3.5.0.final.0" }
2017-11-23T14:07:00.106+0100 I -        [conn47] end connection 127.0.0.1:51347 (3 connections now open)
2017-11-23T14:07:00.107+0100 I -        [conn46] end connection 127.0.0.1:51341 (3 connections now open)
2017-11-23T14:07:00.363+0100 I NETWORK  [thread1] connection accepted from 127.0.0.1:51428 #48 (2 connections now open)
